,Unnamed: 0,id,pubDateTime,mainContent,label
0,0,944331,2009/4/9 15:17,王宜明先生你好；在全球金融危机的环境下，你们高官的薪酬又提高了，而工人的工资也有提高吗？,2
1,1,966546,2009/4/14 15:51,第一季度是否有基金公司去贵公司调研？能否说明一下？,3
2,2,966545,2009/4/14 16:05,今年有无再融资计划？,3
3,3,751342,2009/4/23 16:24,吴董你好，请问贵公司在山东荣成俚岛的两个分公司经营状况如何？主要经营什么产品？谢谢！,2
4,4,892075,2009/4/27 15:08,前几天看到中央二套一个节目，说国产机械设备在国内的竞争力 不强，大家更愿意花高价买国外的，你们公司也有这个感觉吗？你们怎么在实际中应对这个情况？,1
5,5,892074,2009/4/27 15:22,我刚才提出的问题不好回答吗 ？我很失望啊,9
6,6,708578,2009/4/28 13:17,请问公司玉米种在国内的综合市场占有率是多少,1
7,7,708577,2009/4/28 13:18,"请问公司玉米种在国内市场的综合占有率是多少,公司认为最大最有力的竞争对手是哪些公司.此外,今春大旱,公司的抗旱品种销售数据怎么样,能否透露?以后会否增加广告投入或其他促销措施扩大知名度及市占率?谢谢!",1
8,8,793542,2009/4/29 10:29,何老师：您好！您在本年度有在海外投资的计划吗？您在媒体上有表示购买国外的技术到国内生产，是整机还是主要部件？谢谢具体什么时候实施？,3
9,9,793541,2009/4/29 10:37,  您好！3.5亿元建设“山河智能第三产业园”资金的募集具体采取什么方式！预计投资收益能有多高，谢谢！,4
10,10,793540,2009/4/29 12:11,"1，叉车产业明显竞争激烈，有生产过剩嫌疑，公司为何把第三产业园定位叉车生产，此项业务能增强公司抵御风险能力，应该如何理解
2.公司对出口回暖有何预期，谢谢
3、对高管一直在坚持公司股份如何看待，是否公司压力巨大
4、报道称您一直有意将公司向军民两用发展，请问是否将第四产业园用来生产军用飞机等",3
11,11,927136,2009/4/30 22:52,中小板股票分配方案实施时间有无规定?一般是在股东大会通过后多长时间?贵公司什么时间实施分配方案?,7
12,12,748029,2009/5/4 20:44,造纸企业在去年高价库存原材料，导致巨亏。但是现在原材料价格已经跌到底，可以大量买进原材料。下半年原材料可能大幅反弹，正是获利，景兴纸业会在此时买进原材料吗？公司现有5.5亿资金会目前股票价格买进景兴纸业股票吗？投2亿，一月后可能会赚2亿。,3
13,13,805641,2009/5/4 21:48,啥时候是股权登记日呀？听说是10送10对吗？,7
14,14,834140,2009/5/5 9:23,"人家公司4月份才开的股东大会,通过分配方案之后立刻就实行了,为何公司3月份股东大会就已经通过分配方案至今不实行呢?",7
15,15,807662,2009/5/6 12:02,07年报中批露员工人数517人，当年工资支出774万，人均1.5万/年。08年报中员工人数562人，当年工资支出2842万，人均5万/年。较上年同期增长233%，什么原因？,2
16,16,889266,2009/5/6 15:35,请问贵公司粘胶短纤的毛利率为何比山东海龙的毛利率少？还有对近期粘胶短纤上涨的看法？谢谢！,1
17,17,807661,2009/5/7 15:09,"感谢08年取得的丰硕成绩，同时09年度在大环境恶劣情况下利润能够持续增长，经营管理者功不可没。
请问09年度东鸿厂投资项目预计投资总额、达产时间及预期收益如何",2
18,18,807660,2009/5/7 15:11,东塑集团有无借助上市公司平台达到整体上市目的的考虑和计划,3
19,19,734362,2009/5/7 15:23,"你好,想问下,前年通过的那5个专利,中有个,风力发电机用N44SH烧结钕铁硼磁瓦,和铁锂为什么都不生产.现在有国家的政策的扶持.强占优机.
是不是这些都还只是在项目研发上,还没到真正成品出来.",6
20,20,734376,2009/5/7 15:24,"你好,想问下,前年通过的那5个专利,中有个,风力发电机用N44SH烧结钕铁硼磁瓦,和铁锂为什么都不生产.现在有国家的政策的扶持.强占优机.
是不是这些都还只是在项目研发上,还没到真正成品出来.",6
21,21,734378,2009/5/7 16:07,"东阳市横店有色金属有限公司为什么不自己去买那个铜矿,而让上市公司去买.上市公司又不是搞这个的,是不是风险为了让上市公司承担,到时候再低价买给集团公司旗下的,东阳市横店有色金属有限公司.还有公司研究的风电机上用的磁到时候会不会搞到太原刚玉上去.",6
22,22,899818,2009/5/7 16:28,"请问，按招股说明书的承诺，募投项目为何没有完成
",3
23,23,88122,2009/5/7 16:46,为什么600873增发连涨停，中联增发会跌那么多？我是湖南人才买湖南的股票的。早知道买三一好了。,8
24,24,748031,2009/5/7 16:58,目前的原纸销售形势怎样,3
25,25,748030,2009/5/8 12:54,公司的经营亮点能否更具体的介绍点呢？,2
26,26,842775,2009/5/8 15:09,请问，今年5月30日投产的项目进展怎么样？,3
27,27,842774,2009/5/8 15:10,2008年对应收账款计提的坏账损失每股多少钱？,4
28,28,88123,2009/5/8 15:13,今年四月份公司的经营情况如何  ,2
29,29,842781,2009/5/8 15:16,请问，贵公司与上海建工的关系怎样？,1
30,30,842780,2009/5/8 15:20,请问，与贵公司同业竞争的国内最强的三家公司是哪三家？,1
31,31,842779,2009/5/8 15:26,请问，铁路业务占公司业务比例多大？,3
32,32,842778,2009/5/8 15:34,2008年签订的合同都是在2009年完成吗？,3
33,33,842777,2009/5/8 15:37,太慢了,9
34,34,850954,2009/5/8 15:50,再问一个问题。金融是把双刃剑，过去银行只是磨刀的（存贷），至于怎么用刀？干什么？那是贷款者的事。只要能收回就行。现在不同了，也可以自己用，但既不能学美国放任银行随意创新，也不能只吃存贷饭！贵行怎样把握？,9
35,35,842776,2009/5/8 15:50,能不能把没回答的问题一并显示,9
36,36,842773,2009/5/8 15:56,这就是网络交流会？,9
37,37,850955,2009/5/8 16:15,相对南京，北京银行所处城市，是否感到宁波太小了。,9
38,38,88124,2009/5/8 16:54,请问对九月解禁股的看法,7
39,39,850956,2009/5/8 17:40,请问600125现价可否介入？,9
40,40,942349,2009/5/10 9:07,何时股权登记,7
41,41,842782,2009/5/10 19:43,08年签定施工合同31个多亿，为什么业绩不增长？是不是产生很多坏帐？,5
42,42,734363,2009/5/11 12:25,"你们研发的磷酸铁锂材料什么时候能量产,今年能实现吗?",3
43,43,734377,2009/5/11 12:26,我们研发的磷酸铁锂材料，不是新能源电池。??难道你们做的这个东西不是用来做新能源电池的吗?,6
44,44,799432,2009/5/11 14:00,请问公司在当前经营中的主要优势和困难是什么？,2
45,45,371637,2009/5/11 15:08,销售收入5.4亿，毛利60%，净利才0.13亿，是隐瞒了利润还是有人贪污了？,4
46,46,656559,2009/5/11 15:18,请问高云峰及各位公司董事，你们对大族激光近期股价离奇下跌以及网上股民的骂声一片做何感想？？？？？？？,8
47,47,860497,2009/5/11 15:30,西部材料公司的业务范围包括哪些？整个西北地区还是西部地区？,3
